ID,y
1,82.81866
2,96.86644
3,83.296165
4,77.00208
5,112.88116
8,91.44227
10,99.76203
11,94.58563
12,117.514786
14,96.27862
15,116.458664
16,105.15028
17,101.31813
19,90.87941
20,100.57398
21,104.594666
22,118.67734
23,101.31813
26,96.277
28,96.27579
29,101.31813
33,101.31813
35,94.09297
41,101.31813
42,94.16582
43,113.36617
45,102.37624
46,100.94133
51,94.396286
53,84.756134
55,109.355965
56,105.47472
57,110.07273
58,98.64441
59,103.98165
63,105.16467
64,94.50609
65,101.01007
69,97.176
71,98.909966
72,104.74339
73,95.74079
76,105.38852
77,97.21874
78,116.359795
82,94.42243
83,101.01007
84,100.18456
85,106.84086
87,110.71437
88,101.31813
89,110.6087
91,97.90015
93,102.51114
94,106.0546
95,100.85357
96,111.30684
97,95.3309
98,109.7868
99,99.06686
101,105.878525
103,110.6087
104,93.628746
105,110.36798
110,97.27794
111,102.195465
113,104.70692
114,96.63678
115,111.90871
117,110.6087
120,95.51994
121,113.16481
122,93.89744
123,105.97346
126,108.298164
132,109.40491
135,110.71134
137,102.4158
138,95.01878
140,104.03683
142,108.64976
144,110.94497
148,91.80966
149,114.049065
155,102.71354
156,111.63542
157,95.3309
162,113.8338
163,95.82343
167,94.93846
172,113.36617
179,107.14203
180,94.39397
181,107.54532
182,97.28486
183,110.6087
185,110.6087
187,106.98909
188,93.08513
189,94.55015
191,93.89319
192,103.70868
193,93.660446
194,107.544846
195,94.52858
196,99.27098
198,109.365974
199,111.00354
201,100.41065
204,95.19397
205,105.89809
206,106.49751
210,96.72821
211,105.878525
216,111.88785
219,117.514786
220,92.439964
221,109.180916
226,107.54532
227,92.71943
228,110.24517
230,109.814445
231,95.3309
235,118.67734
236,98.49068
238,111.86417
242,104.66135
243,94.29621
244,80.12845
245,110.79682
247,118.23747
248,94.70364
249,91.29269
250,113.671394
251,98.49068
253,118.67734
254,95.532135
256,95.279854
257,92.167854
258,108.87953
259,98.57978
262,91.56702
266,101.5986
267,113.28414
272,103.71096
273,110.6087
275,93.558716
276,108.47906
279,92.75735
280,101.01007
283,92.715004
285,109.94044
288,110.6087
289,108.858925
290,101.06825
291,95.10288
292,105.534325
293,105.56734
296,93.94971
297,105.88601
298,116.359795
299,93.96845
304,91.66308
305,87.75146
306,94.73724
307,109.07508
311,104.23986
313,108.94962
314,92.68988
316,109.429596
324,111.691505
327,98.50365
329,92.556175
330,110.13996
337,97.71523
338,95.07768
339,99.843834
340,93.601944
343,93.52909
345,116.181046
346,96.402596
347,112.91756
349,110.170494
350,94.71059
352,103.07553
353,92.55133
354,91.10934
357,95.89472
358,107.855675
362,108.29892
364,104.765755
365,101.78634
366,102.020035
367,106.68871
368,93.86076
370,81.46069
373,98.95263
377,93.9388
378,108.00328
382,105.38852
384,110.485725
390,96.638466
392,111.9862
393,112.7623
395,94.115906
396,97.0398
399,80.489525
406,108.94962
408,108.94962
409,94.99285
410,80.50968
412,112.84252
413,89.66526
419,99.8668
420,105.148895
421,89.8275
430,106.223274
434,93.4746
436,94.7857
437,102.297035
438,90.44896
439,111.229935
440,101.902504
443,101.62507
446,95.242065
448,93.05696
452,94.64172
453,108.61564
457,99.419136
458,94.76736
459,113.988884
460,104.13637
462,104.46342
464,101.53789
465,117.514786
467,112.78951
471,106.953156
472,76.862885
473,105.40088
475,95.78841
480,102.3127
488,105.84146
490,109.07508
491,104.85541
492,83.39695
493,97.816864
497,94.158264
498,108.03112
499,94.53261
500,100.94133
501,94.77033
502,112.472275
506,87.83425
510,107.50415
511,90.56682
512,93.86831
516,93.189354
518,97.038605
519,112.875114
521,91.57613
522,111.95475
526,114.59611
529,107.726326
532,112.30689
533,94.53274
536,111.14401
537,94.96973
539,94.84753
540,105.881256
541,96.973305
543,93.55111
546,110.36678
547,98.461205
548,91.0599
551,94.61975
552,107.6131
556,101.62622
557,100.753716
558,106.68871
559,93.9473
560,105.556816
562,104.97461
566,98.47015
570,108.03112
571,102.297035
572,101.01007
573,93.68384
575,117.514786
576,109.34433
577,95.37619
579,90.806984
580,112.46766
581,108.99948
589,109.07508
591,101.76471
593,95.37853
594,105.56666
595,94.62154
598,95.05109
602,106.99081
604,112.16258
606,107.622284
608,101.98992
609,105.878525
610,96.5929
616,108.41099
617,94.38212
618,106.27867
620,107.22624
622,102.00174
623,88.94292
624,109.39618
626,112.55618
628,112.12756
629,96.80347
630,109.814445
637,91.49807
638,100.5935
643,105.619995
645,102.3127
646,111.87761
648,94.79308
652,100.57729
653,100.86885
654,108.03112
656,111.350204
657,104.6717
659,99.46576
660,109.29186
663,93.35572
664,110.11303
666,106.84332
668,105.21066
669,93.96151
671,94.86767
675,90.6581
677,96.67127
678,107.6248
679,103.45875
682,106.20218
685,107.48173
687,96.57736
688,94.95685
693,111.71356
696,98.7357
698,93.68146
701,100.74245
704,97.56875
705,117.23062
709,104.247025
710,98.74166
711,108.195335
712,98.90226
714,110.85577
715,90.80534
716,109.07508
717,94.59492
720,116.458664
721,93.856964
724,105.29765
725,95.315315
726,101.099915
728,111.22208
731,97.32443
734,111.215385
738,93.16886
745,105.967735
746,92.22075
751,78.0887
754,95.43168
756,98.35395
758,98.33065
759,109.28787
761,118.02398
766,99.95026
767,107.38334
768,89.03263
769,112.88028
770,98.306076
771,83.39695
772,107.256195
773,96.01551
774,103.54285
776,110.485725
777,104.73465
780,113.36617
782,105.7825
787,103.18458
788,94.84753
792,90.825035
793,114.89489
798,108.90685
800,91.033615
806,109.07508
809,111.15355
811,107.47832
812,95.94182
814,117.514786
816,108.85751
817,93.509224
818,108.161514
820,99.00028
823,95.008934
829,94.40399
830,112.75329
831,92.643295
834,109.63154
839,103.50055
841,83.084496
844,104.75088
845,94.81858
848,91.6235
850,116.78642
851,106.78847
852,97.38827
854,93.067566
855,105.24125
856,110.2438
859,102.648346
861,103.54285
864,93.04201
865,104.29182
866,92.000175
